date,adm0_name,adm1_name,adm2_name,Total No# of IDPs Ind#,reference_year,diff_last_year,diff_per_month
2019-12-31,Mali,Tombouctou,Niafunke,2574.0,2019,1543.0,128.58333333333334
2019-12-31,Mali,Tombouctou,Tombouctou,8041.0,2019,-2275.0,-189.58333333333334
2020-04-30,Mali,Gao,Ansongo,14425.0,2020,1100.0,275.0
2020-04-30,Mali,Gao,Bourem,11474.0,2020,901.0,225.25
2020-04-30,Mali,Gao,Gao,36734.0,2020,2592.0,648.0
2020-04-30,Mali,Gao,Menaka,20991.0,2020,3233.0,808.25
2020-04-30,Mali,Mopti,Bandiagara,16190.0,2020,1223.0,305.75
2020-04-30,Mali,Mopti,Bankass,21289.0,2020,8783.0,2195.75
2020-04-30,Mali,Mopti,Djenne,5866.0,2020,0.0,0.0
2020-04-30,Mali,Mopti,Douentza,6768.0,2020,176.0,44.0
2020-04-30,Mali,Mopti,Koro,22787.0,2020,10277.0,2569.25
2020-04-30,Mali,Mopti,Mopti,24648.0,2020,4856.0,1214.0
2020-04-30,Mali,Mopti,Tenenkou,3463.0,2020,270.0,67.5
2020-04-30,Mali,Mopti,Youwarou,1470.0,2020,1368.0,342.0
2020-04-30,Mali,Tombouctou,Dire,258.0,2020,0.0,0.0
2020-04-30,Mali,Tombouctou,Goundam,8864.0,2020,3206.0,801.5
2020-04-30,Mali,Tombouctou,Gourma-Rharous,10755.0,2020,4645.0,1161.25
2020-04-30,Mali,Tombouctou,Niafunke,3223.0,2020,649.0,162.25
2020-04-30,Mali,Tombouctou,Tombouctou,8381.0,2020,340.0,85.0
